,season,seasonNumber,series,episode,challengeType,outcomeType,rewardType,reward,chef
277,Masters Season 4,4.0,US Masters,1.0,Quickfire,Team,Money,5000.0,Patricia Yeo
278,Masters Season 4,4.0,US Masters,1.0,Elimination,Team,Money,11000.0,Chris Cosentino
279,Masters Season 4,4.0,US Masters,1.0,Elimination,Team,Money,1000.0,Patricia Yeo
280,Masters Season 4,4.0,US Masters,1.0,Elimination,Team,Money,1000.0,Thierry Rautureau
281,Masters Season 4,4.0,US Masters,1.0,Elimination,Team,Money,1000.0,Clark Frasier
282,Masters Season 4,4.0,US Masters,2.0,Elimination,Team,Money,10000.0,Patricia Yeo
283,Masters Season 4,4.0,US Masters,3.0,Quickfire,Individual,Money,5000.0,Takashi Tagihashi
284,Masters Season 4,4.0,US Masters,3.0,Elimination,Individual,Money,10000.0,Art Smith
285,Masters Season 4,4.0,US Masters,4.0,Quickfire,Team,Money,5000.0,Lorena Garcia
286,Masters Season 4,4.0,US Masters,4.0,Elimination,Individual,Money,5000.0,Takashi Tagihashi
287,Masters Season 4,4.0,US Masters,4.0,Elimination,Team,Money,5000.0,Thierry Rautureau
288,Masters Season 4,4.0,US Masters,5.0,Quickfire,Individual,Money,5000.0,Takashi Tagihashi
289,Masters Season 4,4.0,US Masters,5.0,Elimination,Individual,Money,10000.0,Lorena Garcia
290,Masters Season 4,4.0,US Masters,6.0,Quickfire,Individual,Money,5000.0,Takashi Tagihashi
291,Masters Season 4,4.0,US Masters,6.0,Elimination,Individual,Money,10000.0,Chris Cosentino
292,Masters Season 4,4.0,US Masters,7.0,Quickfire,Individual,Money,5000.0,Kerry Heffernan
293,Masters Season 4,4.0,US Masters,7.0,Elimination,Individual,Money,10000.0,Lorena Garcia
294,Masters Season 4,4.0,US Masters,8.0,Quickfire,Team,Money,2500.0,Kerry Heffernan
295,Masters Season 4,4.0,US Masters,8.0,Quickfire,Team,Money,2500.0,Lorena Garcia
296,Masters Season 4,4.0,US Masters,8.0,Elimination,Individual,Money,10000.0,Chris Cosentino
297,Masters Season 4,4.0,US Masters,9.0,Quickfire,Individual,Money,5000.0,Chris Cosentino
298,Masters Season 4,4.0,US Masters,9.0,Elimination,Individual,Money,10000.0,Kerry Heffernan
299,World All Stars,20.0,US,2.0,Quickfire,Individual,Money,10000.0,May Phattanant Thongthong
300,Masters Season 5,5.0,US Masters,1.0,Elimination,Individual,Money,10000.0,Odette Fada
301,Masters Season 5,5.0,US Masters,2.0,Sudden Death Quickfire,Individual,Money,5000.0,Sue Zemanick
302,Masters Season 5,5.0,US Masters,2.0,Elimination,Individual,Money,10000.0,Sang Yoon
303,Masters Season 5,5.0,US Masters,3.0,Quickfire,Individual,Money,5000.0,Sang Yoon
304,Masters Season 5,5.0,US Masters,3.0,Elimination,Individual,Money,10000.0,Jennifer Jasinski
305,Masters Season 5,5.0,US Masters,4.0,Quickfire,Individual,Money,5000.0,Sang Yoon
306,Masters Season 5,5.0,US Masters,4.0,Elimination,Team,Money,5000.0,Sue Zemanick
307,Masters Season 5,5.0,US Masters,4.0,Elimination,Team,Money,5000.0,David Burke
308,Masters Season 5,5.0,US Masters,4.0,Elimination,Team,Money,5000.0,Douglas Keane
309,Masters Season 5,5.0,US Masters,5.0,Elimination,Team,Money,10000.0,Sang Yoon
310,Masters Season 5,5.0,US Masters,6.0,Quickfire,Individual,Money,5000.0,Douglas Keane
311,Masters Season 5,5.0,US Masters,6.0,Elimination,Individual,Money,10000.0,Neal Fraser
312,Masters Season 5,5.0,US Masters,7.0,Quickfire,Individual,Money,5000.0,Douglas Keane
313,Masters Season 5,5.0,US Masters,7.0,Elimination,Team,Money,5000.0,Douglas Keane
314,Masters Season 5,5.0,US Masters,7.0,Elimination,Team,Money,5000.0,Jennifer Jasinski
315,Masters Season 5,5.0,US Masters,8.0,Quickfire,Individual,Money,5000.0,Jennifer Jasinski
316,Masters Season 5,5.0,US Masters,8.0,Elimination,Individual,Money,10000.0,Jennifer Jasinski
317,Masters Season 5,5.0,US Masters,9.0,Quickfire,Individual,Money,5000.0,Jennifer Jasinski
318,Masters Season 5,5.0,US Masters,9.0,Elimination,Individual,Money,10000.0,Bryan V.
319,World All Stars,20.0,US,5.0,Elimination,Individual,Prize,"$10,000 for a VRBO trip",Amar S.
320,World All Stars,20.0,US,6.0,Elimination,Team,Money,10000.0,Nicole Gomes
321,World All Stars,20.0,US,8.0,Elimination,Team,Prize,Trip to Fast & Furious Movie premiere,Ali Ghzawi
322,World All Stars,20.0,US,8.0,Elimination,Team,Prize,Trip to Fast & Furious Movie premiere,Tom Goetter
323,World All Stars,20.0,US,8.0,Elimination,Team,Prize,Trip to Fast & Furious Movie premiere,Gabriel Rodriguez
324,World All Stars,20.0,US,9.0,Elimination,Team,Money,10000.0,Ali Ghzawi
325,World All Stars,20.0,US,9.0,Elimination,Team,Money,10000.0,Buddha
326,World All Stars,20.0,US,9.0,Elimination,Team,Money,10000.0,Amar S.
327,World All Stars,20.0,US,9.0,Elimination,Team,Money,10000.0,Sara B.
328,World All Stars,20.0,US,11.0,Quickfire,Individual,Money,10000.0,Buddha
329,World All Stars,20.0,US,13.0,Quickfire,Individual,Prize,"$10,000 giftcard from Delta",Ali Ghzawi
330,Wisconsin,21.0,US,2.0,Quickfire,Individual,Money,5000.0,Laura Ozyilmaz
331,Wisconsin,21.0,US,2.0,Elimination,Team,Money,10000.0,Rasika Venkatesa
332,Wisconsin,21.0,US,3.0,Quickfire,Individual,Money,5000.0,Rasika Venkatesa
333,Wisconsin,21.0,US,4.0,Elimination,Team,Money,5000.0,Rasika Venkatesa
334,Wisconsin,21.0,US,4.0,Elimination,Team,Money,5000.0,Danny Garcia
335,Wisconsin,21.0,US,5.0,Quickfire,Individual,Money,7500.0,Charly Pierre
336,Wisconsin,21.0,US,6.0,Quickfire,Individual,Money,7500.0,Michelle Wallace
337,Wisconsin,21.0,US,7.0,Quickfire,Individual,Money,20000.0,Danny Garcia
338,Wisconsin,21.0,US,8.0,Elimination,Team,Money,8000.0,Dan Jacobs
339,Wisconsin,21.0,US,8.0,Elimination,Team,Money,8000.0,Danny Garcia
340,Wisconsin,21.0,US,8.0,Elimination,Team,Money,8000.0,Michelle Wallace
341,Wisconsin,21.0,US,8.0,Elimination,Team,Money,8000.0,Amanda Turner
342,Wisconsin,21.0,US,8.0,Elimination,Team,Money,8000.0,Savannah Miller
343,Wisconsin,21.0,US,9.0,Quickfire,Individual,Money,10000.0,Danny Garcia
344,Wisconsin,21.0,US,10.0,Quickfire,Individual,Money,10000.0,Savannah Miller
345,Wisconsin,21.0,US,11.0,Quickfire,Individual,Money,10000.0,Savannah Miller
346,Wisconsin,21.0,US,12.0,Quickfire,Individual,Money,5000.0,Manny Barella
347,Wisconsin,21.0,US,12.0,Quickfire,Individual,Money,10000.0,Savannah Miller
348,Wisconsin,21.0,US,13.0,Quickfire,Individual,Money,10000.0,Dan Jacobs
349,Wisconsin,21.0,US,13.0,Elimination,Individual,Money & prize,"$10,000 and a 10 day cruise from Holland Cruise",Danny Garcia
